name,city,state
New Sun Star Super Buffet,Phoenix,AZ
Tam's,Phoenix,AZ
Wongs To Go,Phoenix,AZ
Canton Wong #8,Phoenix,AZ
China Restaurant,Phoenix,AZ
Abacus Inn Chinese Restaurant,Phoenix,AZ
Panda Garden,Phoenix,AZ
Neo Tokyo,Phoenix,AZ
Beijing Beijing,Phoenix,AZ
Mr Chao's Asian Bistro,Phoenix,AZ
HongKong Gourmet Buffet,Phoenix,AZ
Shanghai Club,Anthem,AZ
Teriyaki Kitchen,Mesa,AZ
Best HongKong Dining,Mesa,AZ
China Express,Mesa,AZ
Szechuan Express,Mesa,AZ
Golden Canyon Oriental,Mesa,AZ
Golden Gate Chinese Restaurant,Mesa,AZ
New China Buffet,Mesa,AZ
Yoko Fast Food,Mesa,AZ
Big Bowl Restaurant,Mesa,AZ
Golden Valley Chinese Restaurant,Mesa,AZ
China Panda Buffet,Mesa,AZ
Chens Chinese Restaurant,Mesa,AZ
Golden China,Apache Junction,AZ
Big Wa Chinese Restaurant,Casa Grande,AZ
Lucky Sushi & Chinese Restaurant,Casa Grande,AZ
China King,Casa Grande,AZ
Red Dragon Chinese Food,Chandler,AZ
Chinese Gourmet Buffet,Chandler,AZ
China Way Restaurant,Chandler,AZ
Yangtse Chinese Bistro,Chandler,AZ
C-Fu Gourmet,Chandler,AZ
Tokyo House,Chandler,AZ
Cyclo Vietnamese Cuisine,Chandler,AZ
Pick Up Stix,Chandler,AZ
Queen's Bowl Chinese Food,Chandler,AZ
Wokee Express,Gilbert,AZ
China Pearl Chinese Restaurant,Gilbert,AZ
Asian Grill,Sun Lakes,AZ
China Lite,Scottsdale,AZ
House of Yang,Scottsdale,AZ
Chop and Wok Gourmet Chinese,Scottsdale,AZ
Flo's,Scottsdale,AZ
Qwik Chinese,Scottsdale,AZ
Joyful Chinese Dining,Scottsdale,AZ
Sesame Inn Carefree,Scottsdale,AZ
Chen's Garden,Fountain Hills,AZ
Ha Ha China,Fountain Hills,AZ
Pong Pong Restaurant,Tempe,AZ
YC's Mongolian Grill,Tempe,AZ
Hunan Express Chinese Delivery,Tempe,AZ
Golden Egg Roll,Tempe,AZ
Rice King Restaurant,Tempe,AZ
China Farm Chinese Buffet,Tempe,AZ
The Magic Wok,Tempe,AZ
YC's Mongolian Grill,Tempe,AZ
Taste of China,Gilbert,AZ
Yao Fine Chinese Cuisine,Gilbert,AZ
Grand Dragon,Glendale,AZ
Chung Ming Restaurant,Glendale,AZ
China Rainbow,Glendale,AZ
Golden Rice Express,Glendale,AZ
Golden Dragon,Glendale,AZ
Great Wall Buffet,Glendale,AZ
Abacus Inn Chinese Restaurant-Arrowhead,Glendale,AZ
Pick Up Stix,Glendale,AZ
Bamboo Cafe,Glendale,AZ
China 7 Chinese Cuisine,Peoria,AZ
Sizzling Wok,Wickenburg,AZ
China A Go Go,Henderson,NV
Wok In Express,Henderson,NV
Little Dumpling,Henderson,NV
China Star,Henderson,NV
Bangkok Orchid,Henderson,NV
Cook On Wok,Henderson,NV
Bangkok 9 Thai-Chinese Food,Henderson,NV
Chai Tip's Thai and Chinese,North Las Vegas,NV
Grand China,North Las Vegas,NV
China A Go Go,Henderson,NV
Pick Up Stix,Henderson,NV
King & I,Henderson,NV
Cafe Noodle & Chinese Barbeque,Las Vegas,NV
Pho Kim Long,Las Vegas,NV
Sesame House,Las Vegas,NV
China Joe's,Las Vegas,NV
Rice To-Go,Las Vegas,NV
Chinatown Express Restaurant,Las Vegas,NV
Sam Woo BBQ Restaurant,Las Vegas,NV
Food Express Chinese Restaurant,Las Vegas,NV
China Star,Las Vegas,NV
Diamond China Restaurant,Las Vegas,NV
Chopstix Express,Las Vegas,NV
Emperor's Garden,Las Vegas,NV
Joyful House Chinese Cuisine,Las Vegas,NV
Ocha Cuisine,Las Vegas,NV
China Pantry,Las Vegas,NV
Pat's Chinese Food and Minimart,Las Vegas,NV
Buffet @ Asia,Las Vegas,NV
Pick Up Stix,Las Vegas,NV
China Joe's,Las Vegas,NV
Fair View Chinese Cuisine,Las Vegas,NV
China Olive,Las Vegas,NV
Cheng's Express,Las Vegas,NV
Golden Flower Chinese Cuisine,Las Vegas,NV
Mr. Chop Chop,Las Vegas,NV
Amlee Chinese Cuisine,Las Vegas,NV
Diamond China 2,Las Vegas,NV
Great China,Las Vegas,NV
Grand China Fine Chinese Cuisine,Las Vegas,NV
KJ Kitchen,Las Vegas,NV
Buffet Asia,Las Vegas,NV
Cathay House Restaurant,Las Vegas,NV
Mandarin Express,Las Vegas,NV
Dragon Chinese Restaurant,Verona,PA
Chan An Restaurant,Pittsburgh,PA
Golden Palace Chinese Restaurant,Pittsburgh,PA
Lulu's Noodles,Pittsburgh,PA
Orient Kitchen,Pittsburgh,PA
Golden Palace Buffet,Pittsburgh,PA
Szechuan Express,Pittsburgh,PA
Rose Tea Cafe,Pittsburgh,PA
Yen's Gourmet,Pittsburgh,PA
How Lee Chinese Food,Pittsburgh,PA
New Dumpling House,Pittsburgh,PA
Silk Pagoda Restaurant,Pittsburgh,PA
Chinatown Inn,Pittsburgh,PA
Tian's China Wok,Pittsburgh,PA
Zhen Choo Chinese Restaurant,Pittsburgh,PA
Lotus Garden,Pittsburgh,PA
Wang's Kitchen,Pittsburgh,PA
Mandarin Gourmet,Pittsburgh,PA
Sesame Inn Chinese Restaurant,Pittsburgh,PA
Me Lyng Restaurant,Homestead,PA
Chan An Restaurant,Pittsburgh,PA
Great China,Indian Trail,NC
Buffet Dynasty,Matthews,NC
Chia Best Chinese Restaurant,Matthews,NC
Chen-Fu Fast Chinese Food,Matthews,NC
HongKong,Charlotte,NC
Taipei Express,Charlotte,NC
Lai Lai Express,Charlotte,NC
Shun Lee Palace,Charlotte,NC
Dragon Court,Charlotte,NC
HongKong BBQ,Charlotte,NC
Golden Gate Express,Charlotte,NC
China Garden,Charlotte,NC
Fortune Garden Chinese Restaurant,Charlotte,NC
China Wing,Charlotte,NC
China Fun,Charlotte,NC
Empress of China II,Charlotte,NC
Hop Feng 2,Charlotte,NC
Lotus Chinese Cuisine,Charlotte,NC
Pagoda Chinese Restaurant,Charlotte,NC
China Tea Room,Charlotte,NC
Pan China Cafe,Charlotte,NC
Royal Panda,Charlotte,NC
Lotus Cafe Chinese Cuisine,Charlotte,NC
Jo Jo China Bistro,Charlotte,NC
Cherry Blossom Chinese Restaurant,Charlotte,NC
The Wok,Charlotte,NC
China East,Fort Mill,SC
Dragon City,Verona,WI
China Wok Chinese Restaurant,Waunakee,WI
Wah Kee Wonton Noodle,Madison,WI
Chin's Asia Fresh,Madison,WI
HongKong Wok,Madison,WI
Yen Ching Restaurant,Madison,WI
Chang Jiang Restaurant,Madison,WI
Chang Jiang,Fitchburg,WI
Happy Wok,Monona,WI
HongKong Cafe,Madison,WI
Jade Garden,Madison,WI
Nam's Noodle & Karaoke Bar,Madison,WI
HongKong Cafe West,Madison,WI
Asia Express,Madison,WI
Chang Jiang Chinese Restaurant,Madison,WI
Happy Wok,Madison,WI
China One West,Madison,WI
Tang Dynasty,Urbana,IL
Hot Wok Express,Urbana,IL
Sing High Chop Suey House,Phoenix,AZ
Liyuen,Phoenix,AZ
Garden Express,Phoenix,AZ
Golden Moon Palace Restaurant,Phoenix,AZ
Diamond's Chinese Restaurant,Phoenix,AZ
The Prime Chinese Restaurant,Phoenix,AZ
South China Buffet,Phoenix,AZ
Maxim Restaurant,Phoenix,AZ
Kwan & Wok Chinese Restaurant,Phoenix,AZ
Yin's Chinese Resturant,Phoenix,AZ
Canton Wong #2,Phoenix,AZ
Shanghai Express,Phoenix,AZ
Great Wall Cuisine,Phoenix,AZ
Silver Dragon Chinese Restaurant,Phoenix,AZ
Panda Gourmet,Phoenix,AZ
Chen Wok Express,Phoenix,AZ
Golden Panda,Phoenix,AZ
China Garden Restaurant,Phoenix,AZ
Oriental Express,Phoenix,AZ
Bamboo Grille,Phoenix,AZ
Pink Lotus Express,Phoenix,AZ
Mister Wong,Phoenix,AZ
Ming's Pagoda,Phoenix,AZ
Great Wall Buffet,Phoenix,AZ
China Harvest Buffet,Phoenix,AZ
Shangri-La Chinese,Phoenix,AZ
Little Dragon Chinese Restaurant,Phoenix,AZ
May Garden Restaurant,Phoenix,AZ
Golden Nugget Chinese Buffet,Phoenix,AZ
Chinese Gourmet Buffet,Phoenix,AZ
Canton Dragon,Phoenix,AZ
China Buffet 2000,Phoenix,AZ
Lim's Chinese Restaurant,Phoenix,AZ
Good China Restaurant,Phoenix,AZ
Happy Food,Phoenix,AZ
Rice To You,Phoenix,AZ
Star Wok,Phoenix,AZ
Wong's Restaurant,Phoenix,AZ
Marcia's Long Wongs,Phoenix,AZ
Great Wall Buffet Two Corporation,Phoenix,AZ
Chen & Wok,Phoenix,AZ
Pong Pong,Phoenix,AZ
Abacus Inn,Phoenix,AZ
New Asian Kitchen,Phoenix,AZ
China China Restaurant,Mesa,AZ
Kwan's Sampan Restaurant,Mesa,AZ
China Palace,Mesa,AZ
Tao Yuan Chinese Restaurant,Mesa,AZ
House of Egg Roll,Chandler,AZ
Long Wongs,Chandler,AZ
Chens Chinese Food,Chandler,AZ
Jade Palace,Scottsdale,AZ
China Wok,Scottsdale,AZ
New China Gate,Scottsdale,AZ
George & Son's Asian Cuisine,Scottsdale,AZ
Mr. Hunan,Tempe,AZ
Little Szechuan,Tempe,AZ
Gourmet Wok,Tempe,AZ
Chopstick Express,Tempe,AZ
Lychee Inn,Tempe,AZ
Wong's Place,Tempe,AZ
China Town Buffet,Tempe,AZ
Tott's Asian Diner,Chandler,AZ
Chinatown Restaurant,Tempe,AZ
Him's Jl Buffet,Glendale,AZ
Hing Loon Chinese Ex,Glendale,AZ
King Wah Express,Glendale,AZ
Ming-Gee Chinese Food Restaurant,Glendale,AZ
Canton Wong,Glendale,AZ
Dragon Garden Express,Avondale,AZ
Bamboo Palace Buffet,Avondale,AZ
Big Heng,Peoria,AZ
China Place,Peoria,AZ
Bobo China,Peoria,AZ
Good China Restaurant,Peoria,AZ
King Buffet,Chandler,AZ
Golden Star Chinese Food Restaurant,Sun City,AZ
Nan Jing,Sun City West,AZ
China Joy,Carefree,AZ
Wing Hing,Peoria,AZ
Chen & Wok,Peoria,AZ
Sam-Pan Chinese Restaurant,Henderson,NV
China Inn,Henderson,NV
China Joe's,Henderson,NV
The Lotus,Henderson,NV
Jasmine Express,North Las Vegas,NV
Cook On Wok Chinese Cuisine,Las Vegas,NV
Red Shrimp Company,Las Vegas,NV
Kung Fu Thai & Chinese Restaurant,Las Vegas,NV
Golden Dragon Chinese Cuisine,Las Vegas,NV
Chang's HongKong Cuisine,Las Vegas,NV
Wok N Roll,Las Vegas,NV
Koji Restaurant,Las Vegas,NV
Little Buddha Restaurant & Sushi Bar,Las Vegas,NV
Chinese Village Restaurant & Lounge,Las Vegas,NV
Chinois,Las Vegas,NV
Dragon Noodle Co.,Las Vegas,NV
China Star,Las Vegas,NV
Manchu Wok,Las Vegas,NV
Chin Chin,Las Vegas,NV
Diamond Chinese Restaurant,Las Vegas,NV
Peking-Express Restaurant,Las Vegas,NV
Chop Chop Wok,Las Vegas,NV
Pumi Chinese Restaurant,Las Vegas,NV
Great Wall Chinese Restaurant,Las Vegas,NV
Pearl Wok To Go,Las Vegas,NV
China Joe's,Las Vegas,NV
New China Buffet,Las Vegas,NV
Wo Fat,Las Vegas,NV
Beijing Chinese Cuisine,Las Vegas,NV
Thai House Restaurant,Las Vegas,NV
Little Dumpling,Las Vegas,NV
Chopstix,Las Vegas,NV
Cook On Wok,Las Vegas,NV
Grand China III,Las Vegas,NV
Ho Ho Ho Chinese Gourmet,Las Vegas,NV
Gourmet Wok,Las Vegas,NV
Chow Mein Express,Las Vegas,NV
Little Dumpling,Las Vegas,NV
Golden Phoenix Chinese Restaurant,Phoenix,AZ
Tao Garden,Chandler,AZ
Bamboo Club,Scottsdale,AZ
Jasmine,Las Vegas,NV
Dim Sum Chinese Restaurant,Charlotte,NC
Panda's Den,Charlotte,NC
China King Super Buffet,Charlotte,NC
Tsunami Asian Grill & Sushi Bar,Las Vegas,NV
Chino Bandido,Phoenix,AZ
China Grill,Las Vegas,NV
Fusia,Las Vegas,NV
Jade Palace,Scottsdale,AZ
Golden Buddha,Phoenix,AZ
Taiwan Express,Phoenix,AZ
Red 8,Las Vegas,NV
Mu Shu Asian Grill,Phoenix,AZ
Wang & King Asian Cafe,Charlotte,NC
Taiyo Pacific and Sushi Bar,Charlotte,NC
Great Wok,Charlotte,NC
Noodle Asia,Las Vegas,NV
Victorian Cafe,Las Vegas,NV
China King,Chandler,AZ
Noodles,Las Vegas,NV
Buffet Orient,Las Vegas,NV
Lai Lai Wok,Champaign,IL
Golden China,Fort Mill,SC
Mama Fu's Asian House,Charlotte,NC
Orchids Garden Chinese Restaurant,Las Vegas,NV
New Asian Cuisine,Mint Hill,NC
Chino Bandido,Chandler,AZ
Autumn Court Chinese Restaurant,Phoenix,AZ
Flo's Shanghai Cafe,Phoenix,AZ
Ping Pang Pong,Las Vegas,NV
Green Jade,Champaign,IL
Thai Vegas,Las Vegas,NV
Asian Kitchen,Madison,WI
DragonFly,Charlotte,NC
Monterey Room,Las Vegas,NV
Thai Basil,North Las Vegas,NV
Noodle Palace,Las Vegas,NV
Ka Mei,Pittsburgh,PA
China Grill,Las Vegas,NV
Satay Thai Bistro & Bar,Las Vegas,NV
Asian Seafood Buffet,Phoenix,AZ
Chen & Wok,Phoenix,AZ
China Fun,Charlotte,NC
Siu Wok,Phoenix,AZ
Harbor Palace,Las Vegas,NV
Golden Wok,Champaign,IL
Thai Taste,Las Vegas,NV
Chen's Bistro,Charlotte,NC
Golden Phoenix Chinese Cuisine,North Las Vegas,NV
Sun Asian Kitchen,Phoenix,AZ
Zaw's Asian Foods,Pittsburgh,PA
Red Dragon Express,Laveen,AZ
Capital Seafood Restaurant,Las Vegas,NV
Shanghai Lilly,Las Vegas,NV
New Shanghai Restaurant,Las Vegas,NV
Lanai Express,Las Vegas,NV
Chinoise,Las Vegas,NV
Noodle Shop,Las Vegas,NV
Crazy Buffet,Tempe,AZ
Wahsun Chinese Restaurant,Phoenix,AZ
China Inn,Phoenix,AZ
Canton Dragon,Scottsdale,AZ
New China Buffet,Phoenix,AZ
Phoenix Palace,Chandler,AZ
Chen's Chinese Restaurant,Queen Creek,AZ
China Olive,Phoenix,AZ
Good China Restaurant,Peoria,AZ
Jade Palace,Scottsdale,AZ
Pick Up Stix,Phoenix,AZ
Ginger China Bistro,Glendale,AZ
China Buffet,Surprise,AZ
Pei Wok,Phoenix,AZ
Nee House Chinese Restaurant,Phoenix,AZ
Ping's Cafe,Fountain Hills,AZ
Dragon Wok,Gilbert,AZ
May Flower Chinese Restaurant,Mesa,AZ
Tasty Joe's,Mesa,AZ
New Wok Chinese Food,Avondale,AZ
Banana Leaf Asia Bistro,Scottsdale,AZ
Phoenix Palace,Chandler,AZ
Asian Cafe Express,Mesa,AZ
Jong Wah Chinese Restaurant,Mesa,AZ
HongKong Kitchen,Casa Grande,AZ
Iron Chef,Queen Creek,AZ
Asia Lee Chinese Restaurant,Phoenix,AZ
China Buffet,Casa Grande,AZ
Happy Garden,Tolleson,AZ
Tasty Asian Kitchen,Litchfield Park,AZ
Great Dragon Restaurant,Phoenix,AZ
Chen & Wok,Surprise,AZ
Great Wall Chinese Restaurant,Gilbert,AZ
Yen Ching,Mesa,AZ
Peter Wong Chinese Restaurant,Phoenix,AZ
Flo's,Scottsdale,AZ
Great China Super Buffet,Mesa,AZ
The Wok Express,Phoenix,AZ
China A Go Go,Las Vegas,NV
Hue Thai,Las Vegas,NV
Champion Gourmet,Las Vegas,NV
Asian Express,Las Vegas,NV
China A Go Go,North Las Vegas,NV
Pho Hoang,Las Vegas,NV
China Joy,Las Vegas,NV
China Kitchen,Las Vegas,NV
Kan's Kitchen,Las Vegas,NV
Yummy Grill Sushi,Henderson,NV
Little Dumpling,Las Vegas,NV
China Star,North Las Vegas,NV
Pendas Buffet,Las Vegas,NV
Grand China,Las Vegas,NV
China Joe's,Las Vegas,NV
New China Cuisine,North Las Vegas,NV
Lotus Garden Cuisine,Las Vegas,NV
China Ginger,Las Vegas,NV
Empress Court,Las Vegas,NV
Ta Ta Bistro,Henderson,NV
Manchu Wok,Charlotte,NC
China Palace,Madison,WI
Fin,Las Vegas,NV
Yummy Grill & Sushi,Las Vegas,NV
Ming's Table,Las Vegas,NV
Little Macau,Las Vegas,NV
A8 China,Madison,WI
Chia Bistro Chinese Food,Huntersville,NC
China Grill,Peoria,AZ
China Chan Restaurant,Phoenix,AZ
888 Noodle Bar,Las Vegas,NV
Golden Taipei,Charlotte,NC
Pearl,Las Vegas,NV
China A GoGo,Las Vegas,NV
J & J Szechuan Cuisine,Las Vegas,NV
Chow King,Las Vegas,NV
88 China Bistro,Charlotte,NC
Orient Express,Pittsburgh,PA
Evo Cafe,Champaign,IL
Yunnan Garden,Las Vegas,NV
Shanghai Club,Scottsdale,AZ
Imperial Asian Buffet,North Las Vegas,NV
Golden Wei,Surprise,AZ
Lucky Star Chinese & Japanese Buffet,Las Vegas,NV
Jade At the Palazzo,Las Vegas,NV
Big Wok,Fort Mill,SC
HongKong Express,Phoenix,AZ
Big Buddha,Surprise,AZ
Red House,Scottsdale,AZ
Stir Fry Paradise,Glendale,AZ
Little Dumpling,Las Vegas,NV
China Spice,Henderson,NV
Ling & Louie's Asian Bar and Grill,Scottsdale,AZ
China Mama Restaurant,Las Vegas,NV
Wai Wai Chinese Cuisine,Pittsburgh,PA
Zushi Japanese Bistro,Mesa,AZ
Studio Wok,Las Vegas,NV
Rice n Noodle,Las Vegas,NV
Yummy Buffet,Madison,WI
Yan's,Goodyear,AZ
Hope Kee,Peoria,AZ
Bobo China,Las Vegas,NV
Cook On Wok,Henderson,NV
Cravings,Champaign,IL
Dong Phuong Saigon Bowl,Scottsdale,AZ
Beijing Chinese Cuisine,Goodyear,AZ
Chef Chiang,Chandler,AZ
Hot Wok Mr Cook,Tempe,AZ
Orient Sushi Grill,Gilbert,AZ
Krazy Buffet,Las Vegas,NV
China Max,Tempe,AZ
Dragon Wok,Las Vegas,NV
Lillie's Asian Cuisine,Las Vegas,NV
Golden China,Phoenix,AZ
Golden Palace Buffet,Pittsburgh,PA
Zine Noodles Dim Sum,Las Vegas,NV
China Star Buffet,Las Vegas,NV
Chop Chop Chinese Kitchen,Litchfield Park,AZ
Pacific Ring,Pittsburgh,PA
Mah Jong,Las Vegas,NV
Nothing but Noodles,Charlotte,NC
Happy Food,Phoenix,AZ
China Star Super Buffet,Phoenix,AZ
Ginbu 401,Charlotte,NC
Jumbo Buffet,Phoenix,AZ
Grand China,Las Vegas,NV
Dragon Buffet,Charlotte,NC
Tomi Chinese Restaurant,Charlotte,NC
HongKong Bistro,Chandler,AZ
Liu Lius Asian Bistro,Fort Mill,SC
Mandarin Express,Las Vegas,NV
Chop Chop Chinese Kitchen,Phoenix,AZ
Ocean Buffet,Mesa,AZ
Pan Asia Sushi Chinese Fusion,Phoenix,AZ
Big Wa,Chandler,AZ
China Buffet,Phoenix,AZ
Sun Chinese Dining,Chandler,AZ
China Star,Pittsburgh,PA
Koishi Restaurant & Sushi Bar,Charlotte,NC
Noodles & Company - Arboretum,Charlotte,NC
Pho Chandler,Chandler,AZ
Ohana Hawaiian BBQ,Las Vegas,NV
Chop Sticks,Pittsburgh,PA
Mandarin Chef,Gilbert,AZ
J & K Gourmet,Gilbert,AZ
Eastern Buffet,Phoenix,AZ
WAM Asian Grill,Charlotte,NC
Red Bowl Asian Bistro,Charlotte,NC
Wok n Stix,Glendale,AZ
China Gourmet,Mesa,AZ
Dragon House Chinese Buffet,Charlotte,NC
Noodle Exchange,Las Vegas,NV
Forbes KTV Restaurant & Bar,Las Vegas,NV
BBQ King,Las Vegas,NV
Buffet At Asia,Las Vegas,NV
Great Wok,Phoenix,AZ
Beijing Noodle No. 9,Las Vegas,NV
Long Life Vege Restaurant,Las Vegas,NV
Fusion Sushi & China Bistro,Scottsdale,AZ
Best Wok Buffet,Phoenix,AZ
Grand Buffet,Apache Junction,AZ
World Buffet,Peoria,AZ
Li's Bowl,Phoenix,AZ
Beijing Restaurant,Chandler,AZ
China Garden,Urbana,IL
Great Wall,Maricopa,AZ
Ports O Call Buffet,Las Vegas,NV
YC's Mongolian Grill,Gilbert,AZ
China City Super Buffet,Mesa,AZ
Wok On In,Las Vegas,NV
New China,Mesa,AZ
Mr. Beijing,Las Vegas,NV
Meiwei China Bistro,Surprise,AZ
King Wok,Gilbert,AZ
Dong Ting Spring,Las Vegas,NV
Food Express,Las Vegas,NV
Lily Bowl Chinese Bistro,Gilbert,AZ
QQ Asian Buffet,Madison,WI
Dragon Express,Mesa,AZ
Little Asia,Pittsburgh,PA
Jimmy Wans,Pittsburgh,PA
Anna's Garden,Las Vegas,NV
House of Leng,Charlotte,NC
Hakkasan Restaurant,Las Vegas,NV
Jacky Chan,Las Vegas,NV
Lin's Grand Buffet,Phoenix,AZ
Royal Buffet,Charlotte,NC
Yu Yu's Chinese Grill,Charlotte,NC
Shanghai Grill,Peoria,AZ
HK Star,Las Vegas,NV
China One - West Charleston,Las Vegas,NV
Lin's Buffet,Charlotte,NC
Tang's Asian Bistro,Goodyear,AZ
Chopstix,Pittsburgh,PA
Bai Ling Chinese Restaurant,Pittsburgh,PA
Jade House,Mesa,AZ
Fugu,Madison,WI
Eastern Super Buffet,Mesa,AZ
Wong's Jr,Peoria,AZ
Xo Chinese Food,Las Vegas,NV
Blossom Asian Cuisine,Tolleson,AZ
Ginseng 3,Las Vegas,NV
Jumbo Super Buffet,Las Vegas,NV
Cafe China,Glendale,AZ
China Chef,Queen Creek,AZ
China Inn,Charlotte,NC
Bamboo 7 Asian Cuisine,Charlotte,NC
New China Super Buffet,Phoenix,AZ
My Corner Chinese Restaurant,Glendale,AZ
China A GoGo,Las Vegas,NV
Hunan Park,Charlotte,NC
Cafe Ga Hyang,Glendale,AZ
Ling and Louie's Asian Bar and Grill,Chandler,AZ
Wendy's Noodle Cafe,Las Vegas,NV
Shanghai Buffet,Phoenix,AZ
Tottie's Asian Fusion,Paradise Valley,AZ
HongKong Kitchen II,Chandler,AZ
Best China,Fort Mill,SC
Tom's Red Pepper,Middleton,WI
Orient Express,Middleton,WI
Ruby Oriental Restaurant,Monona,WI
China Kitchen,Madison,WI
Golden Harvest,Queen Creek,AZ
Amazing Wok,Charlotte,NC
Great China,Madison,WI
Great China Super Buffet,Phoenix,AZ
Ninja Bowl,Phoenix,AZ
Tasty House Chinese Restaurant,Phoenix,AZ
Chopsticks,Charlotte,NC
Fushing Chinese Restaurant,Harrisburg,NC
Fortune Cookie II,Charlotte,NC
China Cafe,Matthews,NC
Chef Kwo,Charlotte,NC
Mandarin Chinese Restaurant,Huntersville,NC
China Palace,Charlotte,NC
Fast Wok,Charlotte,NC
Royal Dragon Chinese Food,Concord,NC
Cottage 2,Charlotte,NC
Dim Sum China Express,Charlotte,NC
Blossom,Las Vegas,NV
Wing Heaven,Charlotte,NC
MA MA Wok,Charlotte,NC
Chinatown Buffet,Indian Trail,NC
Cherry House II,Charlotte,NC
Best China,Charlotte,NC
Jin Jin Chinese Restaurant,Charlotte,NC
Yeung's Lotus,Charlotte,NC
Wasabi Jane's Rice & Noodle Works,Las Vegas,NV
China Garden,Gilbert,AZ
Uncle Chen,Bellevue,PA
Jen Buffet,Chandler,AZ
HongKong Taste,Pittsburgh,PA
Silk Road Gourmet Chinese,Pittsburgh,PA
Lucky Chinese Express,Pittsburgh,PA
Amazing Wok,Pittsburgh,PA
China Lin,Pittsburgh,PA
